,Accident_Index,1st_Road_Number,2nd_Road_Number,Accident_Severity,Date,Day_of_Week,Did_Police_Officer_Attend_Scene_of_Accident,Junction_Control,Junction_Detail,Latitude,Local_Authority_(District),Local_Authority_(Highway),Location_Easting_OSGR,Location_Northing_OSGR,Longitude,LSOA_of_Accident_Location,Number_of_Casualties,Number_of_Vehicles,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Year,InScotland
33,200501BS70006,450.0,0.0,Slight,03/02/2005,Thursday,1.0,Give way or uncontrolled,Crossroads,51.519986,Kensington and Chelsea,Kensington and Chelsea,524170.0,181640.0,-0.211712,E01002909,2,2,0.0,1.0,Metropolitan Police,Wet or damp,Single carriageway,30,13:00,Urban,Raining no high winds,2005,No
34,200501BS70007,0.0,0.0,Slight,01/02/2005,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.523585,Kensington and Chelsea,Kensington and Chelsea,523740.0,182030.0,-0.217769,E01002906,1,4,0.0,1.0,Metropolitan Police,Dry,Single carriageway,30,13:02,Urban,Fine no high winds,2005,No
35,200501BS70008,0.0,0.0,Slight,03/02/2005,Thursday,1.0,Give way or uncontrolled,Crossroads,51.514951,Kensington and Chelsea,Kensington and Chelsea,523770.0,181070.0,-0.217674,E01002880,2,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,22:55,Urban,Fine no high winds,2005,No
36,200501BS70009,308.0,0.0,Slight,03/02/2005,Thursday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.478096,Hammersmith and Fulham,Hammersmith and Fulham,525840.0,177020.0,-0.189301,E01001921,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,17:30,Urban,Fine no high winds,2005,No
38,200501BS70011,4.0,3220.0,Slight,05/02/2005,Saturday,1.0,Auto traffic signal,Crossroads,51.492652,Kensington and Chelsea,Kensington and Chelsea,525040.0,178620.0,-0.200249,E01002848,1,2,0.0,5.0,Metropolitan Police,Dry,Dual carriageway,30,21:25,Urban,Fine no high winds,2005,No
39,200501BS70012,315.0,0.0,Slight,03/02/2005,Thursday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.500648,Kensington and Chelsea,Kensington and Chelsea,525460.0,179520.0,-0.193882,E01002816,1,2,0.0,4.0,Metropolitan Police,Dry,Single carriageway,30,12:41,Urban,Fine no high winds,2005,No
40,200501BS70013,402.0,4204.0,Slight,04/02/2005,Friday,1.0,Auto traffic signal,Crossroads,51.509377,Kensington and Chelsea,Kensington and Chelsea,525410.0,180490.0,-0.194258,E01002827,1,1,0.0,5.0,Metropolitan Police,Dry,Single carriageway,30,23:35,Urban,Fine no high winds,2005,No
41,200501BS70014,302.0,0.0,Slight,07/02/2005,Monday,1.0,Give way or uncontrolled,T or staggered junction,51.483999,Kensington and Chelsea,Kensington and Chelsea,527570.0,177720.0,-0.16415,E01002900,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,09:15,Urban,Fine no high winds,2005,No
42,200501BS70016,4206.0,0.0,Slight,12/02/2005,Saturday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.509154,Kensington and Chelsea,Kensington and Chelsea,525200.0,180460.0,-0.197293,E01002884,1,1,0.0,5.0,Metropolitan Police,Dry,Single carriageway,30,13:25,Urban,Fine no high winds,2005,No
43,200501BS70017,308.0,0.0,Slight,08/02/2005,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.488776,Kensington and Chelsea,Kensington and Chelsea,526710.0,178230.0,-0.176346,E01002910,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,20:00,Urban,Fine no high winds,2005,No
44,200501BS70018,315.0,0.0,Slight,16/02/2005,Wednesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.502177,Kensington and Chelsea,Kensington and Chelsea,525860.0,179700.0,-0.188058,E01002889,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,08:20,Urban,Fine no high winds,2005,No
45,200501BS70019,0.0,0.0,Slight,07/02/2005,Monday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.4849,Kensington and Chelsea,Kensington and Chelsea,526360.0,177790.0,-0.181542,E01002912,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,11:30,Urban,Fine no high winds,2005,No
46,200501BS70020,4.0,3218.0,Slight,10/02/2005,Thursday,1.0,Give way or uncontrolled,T or staggered junction,51.495806,Kensington and Chelsea,Kensington and Chelsea,527020.0,179020.0,-0.171599,E01002821,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,30,18:10,Urban,Raining no high winds,2005,No
47,200501BS70021,308.0,0.0,Slight,12/02/2005,Saturday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.485005,Kensington and Chelsea,Kensington and Chelsea,526290.0,177800.0,-0.182546,E01002912,1,1,0.0,4.0,Metropolitan Police,Wet or damp,Single carriageway,30,11:33,Urban,Fine no high winds,2005,No
48,200501BS70023,3220.0,0.0,Slight,13/02/2005,Sunday,1.0,Give way or uncontrolled,Crossroads,51.485515,Kensington and Chelsea,Kensington and Chelsea,526020.0,177850.0,-0.186415,E01002896,2,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,20:05,Urban,Fine no high winds,2005,No
49,200501BS70025,0.0,0.0,Slight,01/02/2005,Tuesday,1.0,Give way or uncontrolled,Crossroads,51.492515,Kensington and Chelsea,Kensington and Chelsea,527270.0,178660.0,-0.16813,E01002862,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,30,16:44,Urban,Raining no high winds,2005,No
50,200501BS70027,4206.0,415.0,Slight,17/02/2005,Thursday,2.0,Give way or uncontrolled,Other junction,51.509515,Kensington and Chelsea,Kensington and Chelsea,525190.0,180500.0,-0.197423,E01002884,1,2,0.0,1.0,Metropolitan Police,Wet or damp,Single carriageway,30,18:00,Urban,Raining no high winds,2005,No
51,200501BS70028,3216.0,0.0,Slight,04/02/2005,Friday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.493527,Kensington and Chelsea,Kensington and Chelsea,527960.0,178790.0,-0.158149,E01002859,1,1,0.0,1.0,Metropolitan Police,Dry,Single carriageway,30,10:15,Urban,Fine no high winds,2005,No
52,200501BS70029,450.0,0.0,Serious,15/02/2005,Tuesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.521709,Kensington and Chelsea,Kensington and Chelsea,524100.0,181830.0,-0.212653,E01002905,1,1,0.0,1.0,Metropolitan Police,Dry,Single carriageway,30,18:15,Urban,Fine no high winds,2005,No
53,200501BS70030,3220.0,3217.0,Slight,16/02/2005,Wednesday,1.0,Auto traffic signal,Crossroads,51.481575,Kensington and Chelsea,Kensington and Chelsea,526360.0,177420.0,-0.181674,E01002913,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,10:35,Urban,Fine no high winds,2005,No
54,200501BS70031,412.0,0.0,Slight,18/02/2005,Friday,1.0,Auto traffic signal,Crossroads,51.516656,Kensington and Chelsea,Kensington and Chelsea,524600.0,181280.0,-0.205645,E01002831,1,1,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,30,17:36,Urban,Raining no high winds,2005,No
55,200501BS70032,0.0,315.0,Slight,15/02/2005,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.501941,Kensington and Chelsea,Kensington and Chelsea,525710.0,179670.0,-0.190229,E01002889,1,1,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,16:05,Urban,Fine no high winds,2005,No
56,200501BS70033,0.0,0.0,Slight,10/02/2005,Thursday,1.0,Give way or uncontrolled,T or staggered junction,51.497911,Kensington and Chelsea,Kensington and Chelsea,526450.0,179240.0,-0.179727,E01002892,1,1,0.0,1.0,Metropolitan Police,Wet or damp,Single carriageway,30,13:56,Urban,Raining no high winds,2005,No
57,200501BS70034,450.0,0.0,Slight,16/02/2005,Wednesday,1.0,Give way or uncontrolled,Crossroads,51.518806,Kensington and Chelsea,Kensington and Chelsea,524220.0,181510.0,-0.211037,E01002878,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,14:10,Urban,Fine no high winds,2005,No
58,200501BS70036,0.0,0.0,Slight,21/02/2005,Monday,3.0,Give way or uncontrolled,Mini-roundabout,51.49724,Kensington and Chelsea,Kensington and Chelsea,525430.0,179140.0,-0.194449,E01002813,1,2,0.0,0.0,Metropolitan Police,Dry,Roundabout,30,10:10,Urban,Fine no high winds,2005,No
59,200501BS70037,0.0,0.0,Slight,20/02/2005,Sunday,1.0,Give way or uncontrolled,T or staggered junction,51.506807,Kensington and Chelsea,Kensington and Chelsea,524430.0,180180.0,-0.208481,E01002871,1,1,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,30,14:50,Urban,Raining no high winds,2005,No
60,200501BS70038,3220.0,0.0,Slight,22/02/2005,Tuesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.481822,Kensington and Chelsea,Kensington and Chelsea,526860.0,177460.0,-0.174463,E01002840,1,3,0.0,0.0,Metropolitan Police,Wet or damp,Dual carriageway,30,14:43,Urban,Fine no high winds,2005,No
61,200501BS70039,3220.0,0.0,Slight,21/02/2005,Monday,1.0,Give way or uncontrolled,T or staggered junction,51.49164,Kensington and Chelsea,Kensington and Chelsea,525150.0,178510.0,-0.198704,E01002848,2,2,0.0,4.0,Metropolitan Police,Dry,Single carriageway,30,17:20,Urban,Fine no high winds,2005,No
62,200501BS70040,3220.0,0.0,Slight,20/02/2005,Sunday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.494121,Kensington and Chelsea,Kensington and Chelsea,524900.0,178780.0,-0.202208,E01002814,1,2,0.0,5.0,Metropolitan Police,Dry,One way street,30,12:40,Urban,Fine no high winds,2005,No
63,200501BS70041,315.0,0.0,Slight,20/02/2005,Sunday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.501596,Westminster,Westminster,527650.0,179680.0,-0.16229,E01004689,2,1,0.0,4.0,Metropolitan Police,Dry,Single carriageway,30,13:55,Urban,Fine no high winds,2005,No
64,200501BS70042,308.0,0.0,Slight,26/02/2005,Saturday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.494146,Kensington and Chelsea,Kensington and Chelsea,527210.0,178840.0,-0.168929,E01002821,2,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,22:25,Urban,Fine no high winds,2005,No
65,200501BS70043,0.0,0.0,Slight,28/02/2005,Monday,1.0,Give way or uncontrolled,Crossroads,51.491273,Kensington and Chelsea,Kensington and Chelsea,525990.0,178490.0,-0.186618,E01002836,1,4,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,30,18:14,Urban,Fine no high winds,2005,No
66,200501BS70044,3217.0,3220.0,Slight,24/02/2005,Thursday,1.0,Auto traffic signal,Crossroads,51.481575,Kensington and Chelsea,Kensington and Chelsea,526360.0,177420.0,-0.181674,E01002913,1,2,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,30,16:30,Urban,Fine no high winds,2005,No
67,200501BS70045,0.0,0.0,Slight,01/03/2005,Tuesday,1.0,Give way or uncontrolled,T or staggered junction,51.487215,Kensington and Chelsea,Kensington and Chelsea,526860.0,178060.0,-0.174248,E01002910,1,1,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,30,19:00,Urban,Raining no high winds,2005,No
68,200501BS70046,0.0,0.0,Slight,23/02/2005,Wednesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.508707,Kensington and Chelsea,Kensington and Chelsea,524780.0,180400.0,-0.203363,E01002883,1,1,0.0,4.0,Metropolitan Police,Dry,Single carriageway,30,17:13,Urban,Fine no high winds,2005,No
69,200501BS70047,4.0,0.0,Slight,26/02/2005,Saturday,1.0,Give way or uncontrolled,Crossroads,51.495084,Kensington and Chelsea,Kensington and Chelsea,526230.0,178920.0,-0.183009,E01002887,1,2,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,30,17:00,Urban,Raining no high winds,2005,No
70,200501BS70048,3212.0,0.0,Slight,24/02/2005,Thursday,1.0,Auto traffic signal,T or staggered junction,51.482582,Kensington and Chelsea,Kensington and Chelsea,527080.0,177550.0,-0.171264,E01002844,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Dual carriageway,30,09:15,Urban,Snowing no high winds,2005,No
71,200501BS70049,308.0,0.0,Slight,25/02/2005,Friday,1.0,Give way or uncontrolled,Crossroads,51.486931,Kensington and Chelsea,Kensington and Chelsea,526520.0,178020.0,-0.179156,E01002911,1,1,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,30,00:11,Urban,Raining no high winds,2005,No
72,200501BS70050,402.0,4204.0,Slight,23/02/2005,Wednesday,1.0,Give way or uncontrolled,T or staggered junction,51.509125,Kensington and Chelsea,Kensington and Chelsea,525330.0,180460.0,-0.195421,E01002827,1,3,0.0,5.0,Metropolitan Police,Dry,One way street,30,19:00,Urban,Fine no high winds,2005,No
73,200501BS70051,3220.0,0.0,Slight,26/02/2005,Saturday,1.0,Give way or uncontrolled,T or staggered junction,51.493285,Kensington and Chelsea,Kensington and Chelsea,525430.0,178700.0,-0.194606,E01002851,1,1,0.0,0.0,Metropolitan Police,Wet or damp,One way street,30,01:48,Urban,Other,2005,No
74,200501BS70052,0.0,0.0,Slight,23/02/2005,Wednesday,1.0,Data missing or out of range,Not at junction or within 20 metres,51.499569,Kensington and Chelsea,Kensington and Chelsea,524240.0,179370.0,-0.211503,E01002867,1,1,0.0,0.0,Metropolitan Police,Snow,Single carriageway,30,07:58,Urban,Snowing no high winds,2005,No
75,200501BS70053,304.0,0.0,Slight,25/02/2005,Friday,1.0,Auto traffic signal,More than 4 arms (not roundabout),51.49369,Kensington and Chelsea,Kensington and Chelsea,526840.0,178780.0,-0.174277,E01002822,1,1,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,30,14:55,Urban,Fine no high winds,2005,No
76,200501BS70054,3217.0,0.0,Slight,25/02/2005,Friday,1.0,Give way or uncontrolled,T or staggered junction,51.490178,Kensington and Chelsea,Kensington and Chelsea,527670.0,178410.0,-0.162461,E01002861,1,2,0.0,1.0,Metropolitan Police,Wet or damp,Single carriageway,30,08:22,Urban,Snowing no high winds,2005,No
77,200501BS70055,4.0,0.0,Slight,25/02/2005,Friday,1.0,Give way or uncontrolled,T or staggered junction,51.494981,Kensington and Chelsea,Kensington and Chelsea,526290.0,178910.0,-0.182149,E01002835,1,1,0.0,5.0,Metropolitan Police,Wet or damp,Dual carriageway,30,04:38,Urban,Snowing no high winds,2005,No
78,200501BS70056,4206.0,0.0,Slight,04/03/2005,Friday,1.0,Auto traffic signal,More than 4 arms (not roundabout),51.514966,Westminster,Westminster,525330.0,181110.0,-0.19519,E01004653,1,1,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,30,13:20,Urban,Raining no high winds,2005,No
79,200501BS70058,308.0,0.0,Slight,01/03/2005,Tuesday,1.0,Auto traffic signal,Crossroads,51.493429,Kensington and Chelsea,Kensington and Chelsea,527200.0,178760.0,-0.169101,E01002821,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,30,00:30,Urban,Fine no high winds,2005,No
80,200501BS70060,315.0,0.0,Slight,28/02/2005,Monday,1.0,Give way or uncontrolled,T or staggered junction,51.50134,Westminster,Westminster,526390.0,179620.0,-0.180455,E01002891,1,2,0.0,5.0,Metropolitan Police,Wet or damp,Single carriageway,30,19:30,Urban,Snowing no high winds,2005,No
81,200501BS70061,304.0,0.0,Slight,01/03/2005,Tuesday,1.0,Give way or uncontrolled,Private drive or entrance,51.4829,Kensington and Chelsea,Kensington and Chelsea,526060.0,177560.0,-0.185942,E01002912,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,30,12:03,Urban,Raining no high winds,2005,No
82,200501BS70062,3220.0,3220.0,Slight,14/02/2005,Monday,1.0,Auto traffic signal,Crossroads,51.481989,Kensington and Chelsea,Kensington and Chelsea,526920.0,177480.0,-0.173592,E01002840,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,23:03,Urban,Fine no high winds,2005,No
83,200501BS70063,3220.0,0.0,Slight,02/02/2005,Wednesday,1.0,Give way or uncontrolled,T or staggered junction,51.481746,Kensington and Chelsea,Kensington and Chelsea,526800.0,177450.0,-0.17533,E01002840,1,2,0.0,0.0,Metropolitan Police,Wet or damp,Single carriageway,30,22:19,Urban,Raining no high winds,2005,No
84,200501BS70065,308.0,0.0,Slight,03/03/2005,Thursday,1.0,Give way or uncontrolled,T or staggered junction,51.486493,Kensington and Chelsea,Kensington and Chelsea,526470.0,177970.0,-0.179894,E01002912,1,2,0.0,0.0,Metropolitan Police,Dry,Single carriageway,30,14:30,Urban,Fine no high winds,2005,No
